n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,cm00,cm01,cm10,cm11,MAE,MAPE
5,0,2,1,0.9909,16963,15,141,161,1914.76,69.18
10,0,2,1,0.9889,16976,2,189,113,2348.64,75.64
15,0,2,1,0.991,16977,1,154,148,2067.43,72.84
20,0,2,1,0.9901,16977,1,170,132,2254.77,73.61
25,0,2,1,0.9907,16977,1,158,144,2144.06,74.02
30,0,2,1,0.9907,16978,0,160,142,2151.01,71.68
35,0,2,1,0.991,16978,0,155,147,2102.63,73.02
40,0,2,1,0.9907,16978,0,159,143,2081.24,71.08
45,0,2,1,0.991,16978,0,154,148,2043.65,69.45
50,0,2,1,0.9903,16978,0,167,135,2165.39,71.64
55,0,2,1,0.9909,16978,0,157,145,2036.76,72
60,0,2,1,0.99,16978,0,172,130,2181.96,74.27
65,0,2,1,0.9903,16978,0,166,136,2142.75,71.12
70,0,2,1,0.9903,16978,0,167,135,2170.06,71.84
75,0,2,1,0.991,16978,0,154,148,2023.99,69.14
80,0,2,1,0.9906,16978,0,161,141,2080.52,70.41
85,0,2,1,0.9911,16978,0,153,149,2005.51,69.21
90,0,2,1,0.9909,16978,0,157,145,2044.45,69.87
95,0,2,1,0.9913,16978,0,150,152,1947.08,68.48
100,0,2,1,0.9908,16978,0,158,144,1990.67,69.2
105,0,2,1,0.9913,16978,0,150,152,1866.49,67.72
110,0,2,1,0.9911,16978,0,153,149,1913.35,68.63
115,0,2,1,0.9913,16978,0,150,152,1881.07,68.08
120,0,2,1,0.9909,16978,0,157,145,1983,69.37
125,0,2,1,0.9911,16978,0,153,149,1922.74,69.12
130,0,2,1,0.9907,16978,0,159,143,2015.45,70.17
135,0,2,1,0.9906,16978,0,159,143,2022.73,70.2
140,0,2,1,0.9907,16978,0,161,141,2036.1,70.31
145,0,2,1,0.9909,16978,0,156,146,1956.59,69.51
150,0,2,1,0.9909,16978,0,156,146,1932.22,68.99
105,0,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,10,2,1,0.9901,16978,0,170,132,2064.16,72.06
105,20,2,1,0.9898,16978,0,175,127,2068.35,71.11
105,30,2,1,0.991,16978,0,154,148,1912.56,67.94
105,40,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,50,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,60,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,70,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,80,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,90,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,100,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,40,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,40,3,1,0.9905,16978,0,164,138,1909.57,69.7
105,40,4,1,0.9906,16978,0,161,141,1856.75,68.51
105,40,5,1,0.9911,16978,0,153,149,1896,67.88
105,40,6,1,0.9906,16978,0,162,140,1860.5,68.97
105,40,7,1,0.9905,16978,0,163,139,1957.42,69.2
105,40,8,1,0.9907,16977,1,159,143,1948.66,68.94
105,40,9,1,0.9902,16978,0,169,133,2030.29,69.93
105,40,10,1,0.9902,16978,0,168,134,1976.9,69.9
105,40,11,1,0.9902,16978,0,169,133,1990.74,69.56
105,40,12,1,0.9906,16978,0,162,140,1967.9,69.29
105,40,13,1,0.9905,16978,0,163,139,1990.99,69.36
105,40,14,1,0.9903,16978,0,166,136,1991.58,68.98
105,40,15,1,0.9896,16978,0,178,124,2084.8,71.59
105,40,16,1,0.9902,16978,0,169,133,2030.77,69.92
105,40,17,1,0.9905,16978,0,164,138,2016.68,69.38
105,40,18,1,0.9898,16978,0,175,127,2086.48,71
105,40,19,1,0.9905,16978,0,163,139,1914.37,68.66
105,40,20,1,0.9905,16978,0,164,138,1913.31,69.35
105,40,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,40,2,2,0.9902,16978,0,169,133,1985.96,70.5
105,40,2,3,0.9898,16978,0,175,127,2120.28,71.55
105,40,2,4,0.99,16978,0,172,130,2019.03,70.78
105,40,2,5,0.9899,16978,0,173,129,2026.16,71.15
105,40,2,6,0.9902,16978,0,168,134,2147.58,72.12
105,40,2,7,0.9892,16978,0,185,117,2209.67,73.78
105,40,2,8,0.99,16978,0,172,130,2153.27,72.82
105,40,2,9,0.9892,16978,0,185,117,2230.43,74.17
105,40,2,10,0.9902,16978,0,169,133,2159.1,72.35
105,40,2,11,0.9889,16978,0,191,111,2254.58,75.3
105,40,2,12,0.9889,16978,0,188,114,2248.84,74.82
105,40,2,13,0.989,16978,0,190,112,2266.88,75.22
105,40,2,14,0.9896,16978,0,179,123,2148.7,73
105,40,2,15,0.989,16978,0,190,112,2280.59,75.6
105,40,2,16,0.9893,16978,0,184,118,2201.06,74.24
105,40,2,17,0.9886,16978,0,196,106,2288.71,76.82
105,40,2,18,0.9894,16978,0,183,119,2215.99,73.79
105,40,2,19,0.9885,16978,0,198,104,2324.59,76.54
105,40,2,20,0.9885,16978,0,197,105,2318.1,76.3
